gid,number,side
2011860,First,Away (right)
2011860,Second,Away (right)
2011860,Third,Away (right)
2011860,Fourth,Away (right)
2011860,Fifth,Away (right)
2011860,Sixth,Away (right)
2011860,Seventh,Away (right)
2011860,Eighth,Away (right)
2011860,Ninth,Away (right)
2011860,Tenth,Away (right)
2011860,Eleventh,Away (right)
2011861,First,Home (left)
2011861,Second,Home (left)
2011861,Third,Home (left)
2011861,Fourth,Home (left)
2011861,Fifth,Home (left)
2011861,Sixth,Home (left)
2011861,Seventh,Home (left)
2011861,Eighth,Home (left)
2011861,Ninth,Home (left)
2011861,Tenth,Home (left)
2011861,Eleventh,Home (left)
2011861,First,Away (right)
2011861,Second,Away (right)
2011861,Third,Away (right)
2011861,Fourth,Away (right)
2011861,Fifth,Away (right)
2011861,Sixth,Away (right)
2011861,Seventh,Away (right)
2011861,Eighth,Away (right)
2011861,Ninth,Away (right)
2011861,Tenth,Away (right)
2011861,Eleventh,Away (right)
2011862,First,Home (left)
2011862,Second,Home (left)
2011862,Third,Home (left)
2011862,Fourth,Home (left)
2011862,Fifth,Home (left)
2011862,Sixth,Home (left)
2011862,Seventh,Home (left)
2011862,Eighth,Home (left)
2011862,Ninth,Home (left)
2011862,Tenth,Home (left)
2011862,Eleventh,Home (left)
2011862,First,Away (right)
2011862,Second,Away (right)
2011862,Third,Away (right)
2011862,Fourth,Away (right)
2011862,Fifth,Away (right)
2011862,Sixth,Away (right)
2011862,Seventh,Away (right)
2011862,Eighth,Away (right)
2011862,Ninth,Away (right)
2011862,Tenth,Away (right)
2011862,Eleventh,Away (right)
2011863,First,Home (left)
2011863,Second,Home (left)
2011863,Third,Home (left)
2011863,Fourth,Home (left)
2011863,Fifth,Home (left)
2011863,Sixth,Home (left)
2011863,Seventh,Home (left)
2011863,Eighth,Home (left)
2011863,Ninth,Home (left)
2011863,Tenth,Home (left)
2011863,Eleventh,Home (left)
2011863,First,Away (right)
2011863,Second,Away (right)
2011863,Third,Away (right)
2011863,Fourth,Away (right)
2011863,Fifth,Away (right)
2011863,Sixth,Away (right)
2011863,Seventh,Away (right)
2011863,Eighth,Away (right)
2011863,Ninth,Away (right)
2011863,Tenth,Away (right)
2011863,Eleventh,Away (right)
2011864,First,Home (left)
2011864,Second,Home (left)
2011864,Third,Home (left)
2011864,Fourth,Home (left)
2011864,Fifth,Home (left)
2011864,Sixth,Home (left)
2011864,Seventh,Home (left)
2011864,Eighth,Home (left)
2011864,Ninth,Home (left)
2011864,Tenth,Home (left)
2011864,Eleventh,Home (left)
2011864,First,Away (right)
2011864,Second,Away (right)
2011864,Third,Away (right)
2011864,Fourth,Away (right)
2011864,Fifth,Away (right)
2011864,Sixth,Away (right)
2011864,Seventh,Away (right)
2011864,Eighth,Away (right)
2011864,Ninth,Away (right)
2011864,Tenth,Away (right)
2011864,Eleventh,Away (right)
2011867,First,Home (left)
2011867,Second,Home (left)
2011867,Third,Home (left)
2011867,Fourth,Home (left)
2011867,Fifth,Home (left)
2011867,Sixth,Home (left)
2011867,Seventh,Home (left)
2011867,Eighth,Home (left)
2011867,Ninth,Home (left)
2011867,Tenth,Home (left)
2011867,Eleventh,Home (left)
2011867,First,Away (right)
2011867,Second,Away (right)
2011867,Third,Away (right)
2011867,Fourth,Away (right)
2011867,Fifth,Away (right)
2011867,Sixth,Away (right)
2011867,Seventh,Away (right)
2011867,Eighth,Away (right)
2011867,Ninth,Away (right)
2011867,Tenth,Away (right)
2011867,Eleventh,Away (right)
2011868,First,Home (left)
2011868,Second,Home (left)
2011868,Third,Home (left)
2011868,Fourth,Home (left)
2011868,Fifth,Home (left)
2011868,Sixth,Home (left)
2011868,Seventh,Home (left)
2011868,Eighth,Home (left)
2011868,Ninth,Home (left)
2011868,Tenth,Home (left)
2011868,Eleventh,Home (left)
2011868,First,Away (right)
2011868,Second,Away (right)
2011868,Third,Away (right)
2011868,Fourth,Away (right)
2011868,Fifth,Away (right)
2011868,Sixth,Away (right)
2011868,Seventh,Away (right)
2011868,Eighth,Away (right)
2011868,Ninth,Away (right)
2011868,Tenth,Away (right)
2011868,Eleventh,Away (right)
2011869,First,Home (left)
2011869,Second,Home (left)
2011869,Third,Home (left)
2011869,Fourth,Home (left)
2011869,Fifth,Home (left)
2011869,Sixth,Home (left)
2011869,Seventh,Home (left)
2011869,Eighth,Home (left)
2011869,Ninth,Home (left)
2011869,Tenth,Home (left)
2011869,Eleventh,Home (left)
2011869,First,Away (right)
2011869,Second,Away (right)
2011869,Third,Away (right)
2011869,Fourth,Away (right)
2011869,Fifth,Away (right)
2011869,Sixth,Away (right)
2011869,Seventh,Away (right)
2011869,Eighth,Away (right)
2011869,Ninth,Away (right)
2011869,Tenth,Away (right)
2011869,Eleventh,Away (right)
2011870,First,Home (left)
2011870,Second,Home (left)
2011870,Third,Home (left)
2011870,Fourth,Home (left)
2011870,Fifth,Home (left)
2011870,Sixth,Home (left)
2011870,Seventh,Home (left)
2011870,Eighth,Home (left)
2011870,Ninth,Home (left)
2011870,Tenth,Home (left)
2011870,Eleventh,Home (left)
2011870,First,Away (right)
2011870,Second,Away (right)
2011870,Third,Away (right)
2011870,Fourth,Away (right)
2011870,Fifth,Away (right)
2011870,Sixth,Away (right)
2011870,Seventh,Away (right)
2011870,Eighth,Away (right)
2011870,Ninth,Away (right)
2011870,Tenth,Away (right)
2011870,Eleventh,Away (right)
