gid,number,side
2011779,First,Away (right)
2011779,Second,Away (right)
2011779,Third,Away (right)
2011779,Fourth,Away (right)
2011779,Fifth,Away (right)
2011779,Sixth,Away (right)
2011779,Seventh,Away (right)
2011779,Eighth,Away (right)
2011779,Ninth,Away (right)
2011779,Tenth,Away (right)
2011779,Eleventh,Away (right)
2011780,First,Home (left)
2011780,Second,Home (left)
2011780,Third,Home (left)
2011780,Fourth,Home (left)
2011780,Fifth,Home (left)
2011780,Sixth,Home (left)
2011780,Seventh,Home (left)
2011780,Eighth,Home (left)
2011780,Ninth,Home (left)
2011780,Tenth,Home (left)
2011780,Eleventh,Home (left)
2011780,First,Away (right)
2011780,Second,Away (right)
2011780,Third,Away (right)
2011780,Fourth,Away (right)
2011780,Fifth,Away (right)
2011780,Sixth,Away (right)
2011780,Seventh,Away (right)
2011780,Eighth,Away (right)
2011780,Ninth,Away (right)
2011780,Tenth,Away (right)
2011780,Eleventh,Away (right)
2011782,First,Home (left)
2011782,Second,Home (left)
2011782,Third,Home (left)
2011782,Fourth,Home (left)
2011782,Fifth,Home (left)
2011782,Sixth,Home (left)
2011782,Seventh,Home (left)
2011782,Eighth,Home (left)
2011782,Ninth,Home (left)
2011782,Tenth,Home (left)
2011782,Eleventh,Home (left)
2011782,First,Away (right)
2011782,Second,Away (right)
2011782,Third,Away (right)
2011782,Fourth,Away (right)
2011782,Fifth,Away (right)
2011782,Sixth,Away (right)
2011782,Seventh,Away (right)
2011782,Eighth,Away (right)
2011782,Ninth,Away (right)
2011782,Tenth,Away (right)
2011782,Eleventh,Away (right)
2011783,First,Home (left)
2011783,Second,Home (left)
2011783,Third,Home (left)
2011783,Fourth,Home (left)
2011783,Fifth,Home (left)
2011783,Sixth,Home (left)
2011783,Seventh,Home (left)
2011783,Eighth,Home (left)
2011783,Ninth,Home (left)
2011783,Tenth,Home (left)
2011783,Eleventh,Home (left)
2011783,First,Away (right)
2011783,Second,Away (right)
2011783,Third,Away (right)
2011783,Fourth,Away (right)
2011783,Fifth,Away (right)
2011783,Sixth,Away (right)
2011783,Seventh,Away (right)
2011783,Eighth,Away (right)
2011783,Ninth,Away (right)
2011783,Tenth,Away (right)
2011783,Eleventh,Away (right)
2011784,First,Home (left)
2011784,Second,Home (left)
2011784,Third,Home (left)
2011784,Fourth,Home (left)
2011784,Fifth,Home (left)
2011784,Sixth,Home (left)
2011784,Seventh,Home (left)
2011784,Eighth,Home (left)
2011784,Ninth,Home (left)
2011784,Tenth,Home (left)
2011784,Eleventh,Home (left)
2011784,First,Away (right)
2011784,Second,Away (right)
2011784,Third,Away (right)
2011784,Fourth,Away (right)
2011784,Fifth,Away (right)
2011784,Sixth,Away (right)
2011784,Seventh,Away (right)
2011784,Eighth,Away (right)
2011784,Ninth,Away (right)
2011784,Tenth,Away (right)
2011784,Eleventh,Away (right)
2011785,First,Home (left)
2011785,Second,Home (left)
2011785,Third,Home (left)
2011785,Fourth,Home (left)
2011785,Fifth,Home (left)
2011785,Sixth,Home (left)
2011785,Seventh,Home (left)
2011785,Eighth,Home (left)
2011785,Ninth,Home (left)
2011785,Tenth,Home (left)
2011785,Eleventh,Home (left)
2011785,First,Away (right)
2011785,Second,Away (right)
2011785,Third,Away (right)
2011785,Fourth,Away (right)
2011785,Fifth,Away (right)
2011785,Sixth,Away (right)
2011785,Seventh,Away (right)
2011785,Eighth,Away (right)
2011785,Ninth,Away (right)
2011785,Tenth,Away (right)
2011785,Eleventh,Away (right)
2011786,First,Home (left)
2011786,Second,Home (left)
2011786,Third,Home (left)
2011786,Fourth,Home (left)
2011786,Fifth,Home (left)
2011786,Sixth,Home (left)
2011786,Seventh,Home (left)
2011786,Eighth,Home (left)
2011786,Ninth,Home (left)
2011786,Tenth,Home (left)
2011786,Eleventh,Home (left)
2011786,First,Away (right)
2011786,Second,Away (right)
2011786,Third,Away (right)
2011786,Fourth,Away (right)
2011786,Fifth,Away (right)
2011786,Sixth,Away (right)
2011786,Seventh,Away (right)
2011786,Eighth,Away (right)
2011786,Ninth,Away (right)
2011786,Tenth,Away (right)
2011786,Eleventh,Away (right)
2011787,First,Home (left)
2011787,Second,Home (left)
2011787,Third,Home (left)
2011787,Fourth,Home (left)
2011787,Fifth,Home (left)
2011787,Sixth,Home (left)
2011787,Seventh,Home (left)
2011787,Eighth,Home (left)
2011787,Ninth,Home (left)
2011787,Tenth,Home (left)
2011787,Eleventh,Home (left)
2011787,First,Away (right)
2011787,Second,Away (right)
2011787,Third,Away (right)
2011787,Fourth,Away (right)
2011787,Fifth,Away (right)
2011787,Sixth,Away (right)
2011787,Seventh,Away (right)
2011787,Eighth,Away (right)
2011787,Ninth,Away (right)
2011787,Tenth,Away (right)
2011787,Eleventh,Away (right)
2011788,First,Home (left)
2011788,Second,Home (left)
2011788,Third,Home (left)
2011788,Fourth,Home (left)
2011788,Fifth,Home (left)
2011788,Sixth,Home (left)
2011788,Seventh,Home (left)
2011788,Eighth,Home (left)
2011788,Ninth,Home (left)
2011788,Tenth,Home (left)
2011788,Eleventh,Home (left)
2011788,First,Away (right)
2011788,Second,Away (right)
2011788,Third,Away (right)
2011788,Fourth,Away (right)
2011788,Fifth,Away (right)
2011788,Sixth,Away (right)
2011788,Seventh,Away (right)
2011788,Eighth,Away (right)
2011788,Ninth,Away (right)
2011788,Tenth,Away (right)
2011788,Eleventh,Away (right)
2011789,First,Home (left)
2011789,Second,Home (left)
2011789,Third,Home (left)
2011789,Fourth,Home (left)
2011789,Fifth,Home (left)
2011789,Sixth,Home (left)
2011789,Seventh,Home (left)
2011789,Eighth,Home (left)
2011789,Ninth,Home (left)
2011789,Tenth,Home (left)
2011789,Eleventh,Home (left)
2011789,First,Away (right)
2011789,Second,Away (right)
2011789,Third,Away (right)
2011789,Fourth,Away (right)
2011789,Fifth,Away (right)
2011789,Sixth,Away (right)
2011789,Seventh,Away (right)
2011789,Eighth,Away (right)
2011789,Ninth,Away (right)
2011789,Tenth,Away (right)
2011789,Eleventh,Away (right)
2011790,First,Home (left)
2011790,Second,Home (left)
2011790,Third,Home (left)
2011790,Fourth,Home (left)
2011790,Fifth,Home (left)
2011790,Sixth,Home (left)
2011790,Seventh,Home (left)
2011790,Eighth,Home (left)
2011790,Ninth,Home (left)
2011790,Tenth,Home (left)
2011790,Eleventh,Home (left)
2011790,First,Away (right)
2011790,Second,Away (right)
2011790,Third,Away (right)
2011790,Fourth,Away (right)
2011790,Fifth,Away (right)
2011790,Sixth,Away (right)
2011790,Seventh,Away (right)
2011790,Eighth,Away (right)
2011790,Ninth,Away (right)
2011790,Tenth,Away (right)
2011790,Eleventh,Away (right)
2011791,First,Home (left)
2011791,Second,Home (left)
2011791,Third,Home (left)
2011791,Fourth,Home (left)
2011791,Fifth,Home (left)
2011791,Sixth,Home (left)
2011791,Seventh,Home (left)
2011791,Eighth,Home (left)
2011791,Ninth,Home (left)
2011791,Tenth,Home (left)
2011791,Eleventh,Home (left)
2011791,First,Away (right)
2011791,Second,Away (right)
2011791,Third,Away (right)
2011791,Fourth,Away (right)
2011791,Fifth,Away (right)
2011791,Sixth,Away (right)
2011791,Seventh,Away (right)
2011791,Eighth,Away (right)
2011791,Ninth,Away (right)
2011791,Tenth,Away (right)
2011791,Eleventh,Away (right)
2011792,First,Home (left)
2011792,Second,Home (left)
2011792,Third,Home (left)
2011792,Fourth,Home (left)
2011792,Fifth,Home (left)
2011792,Sixth,Home (left)
2011792,Seventh,Home (left)
2011792,Eighth,Home (left)
2011792,Ninth,Home (left)
2011792,Tenth,Home (left)
2011792,Eleventh,Home (left)
2011792,First,Away (right)
2011792,Second,Away (right)
2011792,Third,Away (right)
2011792,Fourth,Away (right)
2011792,Fifth,Away (right)
2011792,Sixth,Away (right)
2011792,Seventh,Away (right)
2011792,Eighth,Away (right)
2011792,Ninth,Away (right)
2011792,Tenth,Away (right)
2011792,Eleventh,Away (right)
2011793,First,Home (left)
2011793,Second,Home (left)
2011793,Third,Home (left)
2011793,Fourth,Home (left)
2011793,Fifth,Home (left)
2011793,Sixth,Home (left)
2011793,Seventh,Home (left)
2011793,Eighth,Home (left)
2011793,Ninth,Home (left)
2011793,Tenth,Home (left)
2011793,Eleventh,Home (left)
2011793,First,Away (right)
2011793,Second,Away (right)
2011793,Third,Away (right)
2011793,Fourth,Away (right)
2011793,Fifth,Away (right)
2011793,Sixth,Away (right)
2011793,Seventh,Away (right)
2011793,Eighth,Away (right)
2011793,Ninth,Away (right)
2011793,Tenth,Away (right)
2011793,Eleventh,Away (right)
2011794,First,Home (left)
2011794,Second,Home (left)
2011794,Third,Home (left)
2011794,Fourth,Home (left)
2011794,Fifth,Home (left)
2011794,Sixth,Home (left)
2011794,Seventh,Home (left)
2011794,Eighth,Home (left)
2011794,Ninth,Home (left)
2011794,Tenth,Home (left)
2011794,Eleventh,Home (left)
2011794,First,Away (right)
2011794,Second,Away (right)
2011794,Third,Away (right)
2011794,Fourth,Away (right)
2011794,Fifth,Away (right)
2011794,Sixth,Away (right)
2011794,Seventh,Away (right)
2011794,Eighth,Away (right)
2011794,Ninth,Away (right)
2011794,Tenth,Away (right)
2011794,Eleventh,Away (right)
2011795,First,Home (left)
2011795,Second,Home (left)
2011795,Third,Home (left)
2011795,Fourth,Home (left)
2011795,Fifth,Home (left)
2011795,Sixth,Home (left)
2011795,Seventh,Home (left)
2011795,Eighth,Home (left)
2011795,Ninth,Home (left)
2011795,Tenth,Home (left)
2011795,Eleventh,Home (left)
2011795,First,Away (right)
2011795,Second,Away (right)
2011795,Third,Away (right)
2011795,Fourth,Away (right)
2011795,Fifth,Away (right)
2011795,Sixth,Away (right)
2011795,Seventh,Away (right)
2011795,Eighth,Away (right)
2011795,Ninth,Away (right)
2011795,Tenth,Away (right)
2011795,Eleventh,Away (right)
2011796,First,Home (left)
2011796,Second,Home (left)
2011796,Third,Home (left)
2011796,Fourth,Home (left)
2011796,Fifth,Home (left)
2011796,Sixth,Home (left)
2011796,Seventh,Home (left)
2011796,Eighth,Home (left)
2011796,Ninth,Home (left)
2011796,Tenth,Home (left)
2011796,Eleventh,Home (left)
2011796,First,Away (right)
2011796,Second,Away (right)
2011796,Third,Away (right)
2011796,Fourth,Away (right)
2011796,Fifth,Away (right)
2011796,Sixth,Away (right)
2011796,Seventh,Away (right)
2011796,Eighth,Away (right)
