gid,number,side
2011757,Fifth,Away (right)
2011757,Sixth,Away (right)
2011757,Seventh,Away (right)
2011757,Eighth,Away (right)
2011757,Ninth,Away (right)
2011757,Tenth,Away (right)
2011757,Eleventh,Away (right)
2011758,First,Home (left)
2011758,Second,Home (left)
2011758,Third,Home (left)
2011758,Fourth,Home (left)
2011758,Fifth,Home (left)
2011758,Sixth,Home (left)
2011758,Seventh,Home (left)
2011758,Eighth,Home (left)
2011758,Ninth,Home (left)
2011758,Tenth,Home (left)
2011758,Eleventh,Home (left)
2011758,First,Away (right)
2011758,Second,Away (right)
2011758,Third,Away (right)
2011758,Fourth,Away (right)
2011758,Fifth,Away (right)
2011758,Sixth,Away (right)
2011758,Seventh,Away (right)
2011758,Eighth,Away (right)
2011758,Ninth,Away (right)
2011758,Tenth,Away (right)
2011758,Eleventh,Away (right)
